operator,tenure_type,tenure_no,field,reservoir,basin,period,metric,value
Anglo Coal*,ML,various,Dawson,Baralaba CM,Bowen,Production for 6-month period ending 30/6/2005,Total gas produced (Mm3),NA
Anglo Coal*,ML,various,Dawson,Baralaba CM,Bowen,Production for 6-month period ending 30/6/2005,Gas flared or vented (Mm3),NA
Anglo Coal*,ML,various,Dawson,Baralaba CM,Bowen,Production for 6-month period ending 30/6/2005,Gas used in production (Mm3),NA
Anglo Coal*,ML,various,Dawson,Baralaba CM,Bowen,Production for 6-month period ending 30/6/2005,Water (ML),NA
Anglo Coal*,ML,various,Dawson,Baralaba CM,Bowen,Production for 6-month period ending 30/6/2005,No. of wells producing petroleum,NA
Anglo Coal*,ML,various,Dawson,Baralaba CM,Bowen,Production for 6-month period ending 31/12/2005,Total gas produced (Mm3),157.8
Anglo Coal*,ML,various,Dawson,Baralaba CM,Bowen,Production for 6-month period ending 31/12/2005,Gas flared or vented (Mm3),NA
Anglo Coal*,ML,various,Dawson,Baralaba CM,Bowen,Production for 6-month period ending 31/12/2005,Gas used in production (Mm3),NA
Anglo Coal*,ML,various,Dawson,Baralaba CM,Bowen,Production for 6-month period ending 31/12/2005,Water (ML),NA
Anglo Coal*,ML,various,Dawson,Baralaba CM,Bowen,Production for 6-month period ending 31/12/2005,No. of wells producing petroleum,NA
Anglo Coal*,ML,various,Dawson,Baralaba CM,Bowen,Production for 6-month period ending 30/6/2006,Total gas produced (Mm3),NA
Anglo Coal*,ML,various,Dawson,Baralaba CM,Bowen,Production for 6-month period ending 30/6/2006,Gas flared or vented (Mm3),NA
Anglo Coal*,ML,various,Dawson,Baralaba CM,Bowen,Production for 6-month period ending 30/6/2006,Gas used in production (Mm3),NA
Anglo Coal*,ML,various,Dawson,Baralaba CM,Bowen,Production for 6-month period ending 30/6/2006,Water (ML),NA
Anglo Coal*,ML,various,Dawson,Baralaba CM,Bowen,Production for 6-month period ending 30/6/2006,No. of wells producing petroleum,NA
Anglo Coal*,ML,various,Dawson,Baralaba CM,Bowen,Production for 6-month period ending 31/12/2006,Total gas produced (Mm3),NA
